Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility
2017-01-01,0.17,40.98,15.11,43.35,22.52,2.82,0.53,9.93
2017-01-02,0.12,38.07,11.06,42.93,18.06,1.14,0.65,9.79
2017-01-03,0.26,25.8,4.04,25.8,12.69,1.07,0.78,8.0
2017-01-04,0.21,14.17,-8.39,14.56,4.21,4.7,0.83,3.21
2017-01-05,0.25,5.15,-9.88,5.15,0.07,1.79,0.77,5.22
2017-01-06,0.09,19.33,-17.89,19.33,-7.45,2.43,0.64,9.53
2017-01-07,0.14,25.48,-4.38,25.48,4.13,2.56,0.6,9.9
2017-01-08,0.11,42.07,9.46,45.22,15.57,3.47,0.59,9.59
2017-01-09,0.09,55.42,32.2,55.42,37.19,16.71,0.49,9.43
2017-01-10,0.05,40.56,23.46,47.96,31.14,11.51,0.38,9.95
2017-01-11,0.12,44.95,17.34,48.23,24.3,7.98,0.55,9.75
2017-01-12,0.23,34.32,14.01,38.1,21.19,0.96,0.68,9.2
2017-01-13,0.2,38.45,14.97,38.45,20.65,1.02,0.8,7.99
2017-01-14,0.16,41.01,16.35,41.01,22.66,1.03,0.78,8.48
2017-01-15,0.34,33.88,20.74,33.88,24.8,2.67,0.86,6.3
2017-01-16,0.39,29.23,17.88,33.82,27.4,5.66,0.86,6.14
2017-01-17,0.04,43.73,12.42,43.73,19.26,3.48,0.74,9.59
2017-01-18,0.1,50.75,15.94,50.75,21.88,3.23,0.48,10.0
2017-01-19,0.12,51.05,22.45,51.05,27.25,2.17,0.49,9.93
2017-01-20,0.22,41.3,22.07,41.3,28.0,2.02,0.71,9.5
2017-01-21,0.18,34.72,15.54,37.91,21.37,1.55,0.72,9.88
2017-01-22,0.14,40.73,19.16,42.52,25.82,2.58,0.48,9.93
2017-01-23,0.25,44.91,20.35,49.01,26.2,4.48,0.55,9.47
2017-01-24,0.31,23.95,9.82,30.7,18.03,5.48,0.86,8.54
2017-01-25,0.15,25.83,4.7,26.89,12.32,2.25,0.67,9.81
2017-01-26,0.18,25.52,3.06,25.85,10.59,0.99,0.57,9.74
2017-01-27,0.13,36.17,-0.74,38.06,9.64,1.91,0.41,9.99
2017-01-28,0.17,40.63,12.02,45.51,19.06,4.76,0.41,10.0
2017-01-29,0.11,56.19,22.89,56.19,29.53,6.6,0.34,10.0
2017-01-30,0.07,57.99,29.56,57.99,36.46,8.37,0.28,10.0
2017-01-31,0.1,59.45,33.47,59.45,36.6,4.0,0.27,9.93
2017-02-01,0.2,29.01,14.49,33.74,22.29,3.83,0.84,7.77
