Date,Hour,apparentTemperature,cloudCover,humidity,temperature,visibility,windSpeed
2017-01-01,0,34.49,0.15,0.42,38.18,10.0,4.81
2017-01-01,1,34.38,0.13,0.39,40.14,10.0,8.77
2017-01-01,2,35.99,0.22,0.36,42.15,10.0,10.79
2017-01-01,3,36.0,0.13,0.37,41.58,10.0,9.09
2017-01-01,4,36.69,0.14,0.38,41.79,10.0,8.17
2017-01-01,5,37.42,0.14,0.41,40.13,10.0,4.05
2017-01-01,6,33.12,0.2,0.45,38.2,10.0,6.77
2017-01-01,7,33.54,0.17,0.44,38.74,10.0,7.14
2017-01-01,8,38.96,0.26,0.41,42.93,10.0,6.48
2017-01-01,9,46.69,0.11,0.33,49.97,9.79,8.1
2017-01-01,10,54.03,0.2,0.28,54.03,9.9,6.05
2017-01-01,11,57.41,0.24,0.25,57.41,9.7,7.42
2017-01-01,12,58.01,0.26,0.25,58.01,10.0,7.1
2017-01-01,13,57.1,0.29,0.26,57.1,10.0,9.69
2017-01-01,14,55.55,0.31,0.26,55.55,9.79,8.99
2017-01-01,15,53.21,0.31,0.28,53.21,10.0,8.18
2017-01-01,16,50.9,0.19,0.31,50.9,9.96,6.86
2017-01-01,17,43.4,0.34,0.36,46.24,10.0,5.63
2017-01-01,18,40.5,0.05,0.4,43.52,9.78,5.15
2017-01-01,19,36.45,0.22,0.45,40.74,10.0,6.3
2017-01-01,20,34.11,0.15,0.47,39.46,10.0,7.67
2017-01-01,21,32.2,0.11,0.52,37.75,10.0,7.38
2017-01-01,22,31.78,0.19,0.54,36.42,10.0,5.6
2017-01-01,23,31.07,0.17,0.54,36.54,10.0,6.83
2017-01-02,0,30.8,0.17,0.55,35.83,10.0,5.99
2017-01-02,1,30.57,0.17,0.54,36.55,10.0,7.68
2017-01-02,2,29.34,0.23,0.59,34.64,9.83,6.05
2017-01-02,3,30.86,0.2,0.55,36.31,10.0,6.74
2017-01-02,4,29.63,0.16,0.57,35.14,10.0,6.48
2017-01-02,5,30.31,0.23,0.59,35.15,10.0,5.56
2017-01-02,6,31.25,0.23,0.56,35.96,10.0,5.6
2017-01-02,7,31.68,0.22,0.6,35.09,9.89,3.98
2017-01-02,8,34.06,0.25,0.59,36.68,9.96,3.46
2017-01-02,9,39.59,0.2,0.48,43.14,10.0,5.86
2017-01-02,10,47.56,0.2,0.37,49.9,10.0,5.99
2017-01-02,11,54.38,0.2,0.31,54.38,10.0,5.79
2017-01-02,12,56.71,0.2,0.27,56.71,10.0,3.34
2017-01-02,13,59.76,0.2,0.23,59.76,10.0,1.15
2017-01-02,14,60.28,0.23,0.22,60.28,9.78,1.88
